genre,artist,album,year,country,notes
Funk,James Brown,Sex Machine,1970,US,Classic funk
Funk,Parliament,Mothership Connection,1975,US,Spaceship cover
Funk,Funkadelic,Maggot Brain,1971,US,Screaming woman
Funk,Sly and the Family Stone,There's a Riot Goin' On,1971,US,American flag
Funk,Curtis Mayfield,Curtis,1970,US,Portrait
Funk,Earth Wind & Fire,That's the Way of the World,1975,US,Egyptian theme
Funk,Ohio Players,Fire,1974,US,Provocative cover
Funk,Kool & the Gang,Wild and Peaceful,1973,US,Colorful design
Funk,The Meters,Rejuvenation,1974,US,Bold design
Funk,Tower of Power,Tower of Power,1973,US,Horn section
Jamaican Ska and Reggae,Bob Marley & The Wailers,Exodus,1977,UK,Rastafarian imagery
Jamaican Ska and Reggae,The Wailers,Catch a Fire,1973,UK,Zippo lighter
Jamaican Ska and Reggae,Peter Tosh,Legalize It,1976,UK,Marijuana plant
Jamaican Ska and Reggae,Burning Spear,Marcus Garvey,1975,UK,Portrait
Jamaican Ska and Reggae,Toots and the Maytals,Funky Kingston,1973,UK,Kingston scene
Jamaican Ska and Reggae,Jimmy Cliff,The Harder They Come,1972,UK,Film soundtrack
Jamaican Ska and Reggae,Black Uhuru,Red,1981,UK,Red design
Jamaican Ska and Reggae,Steel Pulse,Handsworth Revolution,1978,UK,Revolution theme
Jamaican Ska and Reggae,The Specials,The Specials,1979,UK,Black and white
Jamaican Ska and Reggae,Madness,One Step Beyond...,1979,UK,Cartoon cover
Dub Reggae,Lee "Scratch" Perry,Super Ape,1976,UK,Ape illustration
Dub Reggae,King Tubby,King Tubby Meets Rockers Uptown,1976,UK,Abstract design
Dub Reggae,Augustus Pablo,King Tubby Meets Rockers Uptown,1976,UK,Melodica master
Dub Reggae,Scientist,Scientist Rids the World of the Evil Curse of the Vampires,1981,UK,Horror theme
Dub Reggae,Mad Professor,Dub Me Crazy,1982,UK,Cartoon professor
Rock and Roll 50s and 60s,Chuck Berry,After School Session,1957,US,Classic pose
Rock and Roll 50s and 60s,Elvis Presley,Elvis Presley,1956,US,Iconic debut
Rock and Roll 50s and 60s,Little Richard,Here's Little Richard,1957,US,Piano portrait
Rock and Roll 50s and 60s,Jerry Lee Lewis,Jerry Lee Lewis,1958,US,Piano man
Rock and Roll 50s and 60s,Buddy Holly,The "Chirping" Crickets,1957,US,Glasses icon
Rock and Roll 50s and 60s,The Beach Boys,Pet Sounds,1966,US,Goat feeding
Rock and Roll 50s and 60s,The Beatles,Rubber Soul,1965,UK,Fish-eye lens
Rock and Roll 50s and 60s,The Rolling Stones,Let It Bleed,1969,UK,Cake design
Rock and Roll 50s and 60s,The Who,My Generation,1965,UK,Mod style
Rock and Roll 50s and 60s,The Kinks,The Kinks Are the Village Green Preservation Society,1968,UK,Sepia band photo
Rockabilly,Eddie Cochran,Singin' to My Baby,1957,US,Guitar pose
Rockabilly,Gene Vincent,Bluejean Bop!,1956,US,Blue jeans
Rockabilly,Carl Perkins,Dance Album of Carl Perkins,1957,US,Dancing theme
Rockabilly,Johnny Burnette,Johnny Burnette and the Rock 'n Roll Trio,1956,US,Trio photo
Rockabilly,The Stray Cats,Built for Speed,1982,US,Hot rod theme
Folk Rock,Bob Dylan,The Freewheelin' Bob Dylan,1963,US,Street walking
Folk Rock,Simon & Garfunkel,Bridge Over Troubled Water,1970,US,Sepia duo
Folk Rock,The Byrds,Mr. Tambourine Man,1965,US,Band photo
Folk Rock,Crosby Stills & Nash,Crosby Stills & Nash,1969,US,Sofa photo
Folk Rock,Joni Mitchell,Blue,1971,US,Portrait
Folk Rock,Neil Young,After the Gold Rush,1970,US,Art nouveau
Folk Rock,Fairport Convention,Liege & Lief,1969,UK,Medieval theme
Folk Rock,Nick Drake,Five Leaves Left,1969,UK,Park bench
Folk Rock,Pentangle,Basket of Light,1969,UK,Basket illustration
Folk Rock,Donovan,Sunshine Superman,1966,UK,Psychedelic design
Emo,My Chemical Romance,The Black Parade,2006,US,Marching band
Emo,Dashboard Confessional,The Places You Have Come to Fear the Most,2001,US,Emotional design
Emo,Taking Back Sunday,Tell All Your Friends,2002,US,Group photo
Emo,Brand New,The Devil and God Are Raging Inside Me,2006,US,Abstract art
Emo,Jimmy Eat World,Bleed American,2001,US,Red/white design
Emo,The Used,The Used,2002,US,Dark portrait
Emo,Paramore,Riot!,2007,US,Bold colors
Emo,Fall Out Boy,From Under the Cork Tree,2005,US,Tree illustration
Emo,Panic! at the Disco,A Fever You Can't Sweat Out,2005,US,Ornate design
Emo,Hawthorne Heights,The Silence in Black and White,2004,US,High contrast
Jungle,Goldie,Timeless,1995,UK,Golden face
Jungle,Roni Size,New Forms,1997,UK,Abstract design
Jungle,LTJ Bukem,Logical Progression,1996,UK,Purple design
Jungle,Photek,Modus Operandi,1997,UK,Blue abstract
Drum and Bass,Pendulum,Hold Your Colour,2005,UK,Colorful paint
Drum and Bass,High Contrast,True Colours,2002,UK,Color spectrum
Drum and Bass,Calibre,Musique Concrete,2001,UK,Minimal design
Drum and Bass,London Elektricity,Pull the Plug,1999,UK,Electric theme
Drum and Bass,Shy FX,Diary of a Digital Soundboy,2009,UK,Digital art
Gangsta Rap,Ice Cube,AmeriKKKa's Most Wanted,1990,US,Wanted poster
Gangsta Rap,Cypress Hill,Cypress Hill,1991,US,Skull logo
Gangsta Rap,Scarface,The Diary,1994,US,Diary cover
Gangsta Rap,Ice-T,O.G. Original Gangster,1991,US,Portrait
Gangsta Rap,Geto Boys,We Can't Be Stopped,1991,US,Hospital photo
Gangsta Rap,Bone Thugs-n-Harmony,E. 1999 Eternal,1995,US,Cemetery scene
Gangsta Rap,The D.O.C.,No One Can Do It Better,1989,US,Bold statement
Gangsta Rap,Above the Law,Livin' Like Hustlers,1990,US,Street scene
Gangsta Rap,Compton's Most Wanted,It's a Compton Thang,1990,US,Compton map
Gangsta Rap,DJ Quik,Quik Is the Name,1991,US,Portrait
Modern Hip Hop,Kanye West,The College Dropout,2004,US,Teddy bear
Modern Hip Hop,Outkast,Speakerboxxx/The Love Below,2003,US,Dual cover
Modern Hip Hop,50 Cent,Get Rich or Die Tryin',2003,US,Money theme
Modern Hip Hop,Eminem,The Marshall Mathers LP,2000,US,House photo
Modern Hip Hop,Jay-Z,The Blueprint,2001,US,Blueprint design
Modern Hip Hop,Lil Wayne,Tha Carter III,2008,US,Baby photo
Modern Hip Hop,T.I.,King,2006,US,Crown theme
Modern Hip Hop,Nelly,Country Grammar,2000,US,Band-aid face
Modern Hip Hop,Ludacris,Word of Mouf,2001,US,Mouth close-up
Modern Hip Hop,The Game,The Documentary,2005,US,Documentary style
K-Pop,BTS,Love Yourself: Tear,2018,US,Colorful abstract
K-Pop,BLACKPINK,The Album,2020,US,Bold pink/black
K-Pop,EXO,XOXO,2013,US,Kiss mark
K-Pop,Girls' Generation,Girls' Generation,2007,US,Group photo
K-Pop,Big Bang,Made,2016,US,Bold typography
